Ticker,Name,Exchange,Category Name,Country
AEO,"American Eagle Outfitters, Inc.",NYQ,Apparel Stores,USA
AWK,"American Water Works Company, Inc.",NYQ,Water Utilities,USA
NVO,Novo Nordisk A/S,NYQ,Drug Manufacturers - Other,USA
ALK,"Alaska Air Group, Inc.",NYQ,Regional Airlines,USA
PAA,"Plains All American Pipeline, L.P.",NYQ,Oil & Gas Pipelines,USA
AAP,"Advance Auto Parts, Inc.",NYQ,Auto Parts Stores,USA
NAT,Nordic American Tankers Limited,NYQ,Shipping,USA
AIV,Apartment Investment and Management Company,NYQ,REIT - Residential,USA
AEE,Ameren Corporation,NYQ,Electric Utilities,USA
UBS,UBS Group AG,NYQ,Foreign Money Center Banks,USA
ANTM,"Anthem, Inc.",NYQ,Health Care Plans,USA
AGU,Agrium Inc.,NYQ,Agricultural Chemicals,USA
AG,First Majestic Silver Corp.,NYQ,Silver,USA
ABC,AmerisourceBergen Corporation,NYQ,Drugs Wholesale,USA
STO,Statoil ASA,NYQ,Major Integrated Oil & Gas,USA
ATI,Allegheny Technologies Incorporated,NYQ,Metal Fabrication,USA
AVB,"AvalonBay Communities, Inc.",NYQ,REIT - Residential,USA
ATW,"Atwood Oceanics, Inc.",NYQ,Oil & Gas Drilling & Exploration,USA
LH,Laboratory Corporation of America Holdings,NYQ,Medical Laboratories & Research,USA
AVY,Avery Dennison Corporation,NYQ,Business Equipment,USA
